No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,winds,Is,Ir
38689,2014,6,1,0,83,18,22,1010,14.75,0,0
38690,2014,6,1,1,68,18,21,1009,0.89,0,0
38691,2014,6,1,2,53,18,21,1008,4.02,0,0
38692,2014,6,1,3,52,17,21,1009,7.15,0,0
38693,2014,6,1,4,46,18,21,1009,1.79,0,0
38694,2014,6,1,5,49,17,21,1008,4.92,0,0
38695,2014,6,1,6,59,17,22,1008,9.84,0,0
38696,2014,6,1,7,52,17,22,1008,14.76,0,0
38697,2014,6,1,8,43,16,23,1007,20.57,0,0
38698,2014,6,1,9,46,16,27,1007,25.49,0,0
38699,2014,6,1,10,40,16,29,1007,28.62,0,0
38700,2014,6,1,11,32,15,30,1007,31.75,0,0
38701,2014,6,1,12,29,16,31,1007,3.13,0,0
38702,2014,6,1,13,33,13,31,1007,4.92,0,0
38703,2014,6,1,14,37,14,31,1006,6.71,0,0
38704,2014,6,1,15,37,18,27,1006,4.92,0,0
38705,2014,6,1,16,62,18,27,1006,9.84,0,0
38706,2014,6,1,17,80,18,26,1007,13.86,0,0
38707,2014,6,1,18,62,17,21,1009,19.67,0,1
38708,2014,6,1,19,53,16,21,1009,21.46,0,2
38709,2014,6,1,20,59,17,20,1011,4.02,0,3
38710,2014,6,1,21,51,17,19,1011,7.15,0,0
38711,2014,6,1,22,60,16,20,1012,3.13,0,0
38712,2014,6,1,23,59,15,21,1012,1.79,0,0
38713,2014,6,2,0,55,13,21,1012,3.58,0,0
38714,2014,6,2,1,49,13,20,1012,0.89,0,0
38715,2014,6,2,2,52,13,19,1012,1.79,0,0
38716,2014,6,2,3,55,12,19,1012,3.58,0,0
38717,2014,6,2,4,24,12,20,1012,5.37,0,0
38718,2014,6,2,5,21,13,19,1012,0.45,0,0
38719,2014,6,2,6,18,14,19,1013,3.13,0,0
38720,2014,6,2,7,25,14,19,1013,1.79,0,0
38721,2014,6,2,8,25,14,21,1013,3.13,0,0
38722,2014,6,2,9,18,13,21,1013,6.26,0,0
38723,2014,6,2,10,18,15,21,1013,1.79,0,0
38724,2014,6,2,11,24,14,23,1012,0.89,0,0
